City,Country,Max Temp,Description,Lat,Lon,Hotel Name
padang,ID,82.45,overcast clouds,-0.9492,100.3543,losmen Surya
henties bay,,68.2,scattered clouds,-22.116,14.2845,Huis Klipdrift
manokwari,ID,79.18,overcast clouds,-0.8667,134.0833,Hotel Arfak
tual,ID,83.57,overcast clouds,-5.6667,132.75,Suita
hambantota,LK,80.56,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
grand baie,MU,83.44,clear sky,-20.0182,57.5802,Safari
tupaciguara,BR,68.99,overcast clouds,-18.5922,-48.705,Macauba
los andes,CL,70.02,clear sky,-32.8337,-70.5983,Hotel Gloria
pucallpa,PE,70.57,overcast clouds,-8.3791,-74.5539,Hospedaje Cristofer
buraydah,SA,76.46,clear sky,26.326,43.975,دنا للوحدات السكنية
cap malheureux,MU,83.46,clear sky,-19.9842,57.6142,Cape Garden
grand gaube,MU,83.37,clear sky,-20.0064,57.6608,Coco Villa
camana,PE,70.39,overcast clouds,-16.6228,-72.7111,Caja Arequipa
martapura,ID,84.29,clear sky,-3.4167,114.85,Q-Hotel Grand Dafam
shwebo,MM,76.55,few clouds,22.5667,95.7,Pyi Shwe Theingha
vao,NC,73.9,overcast clouds,-22.6667,167.4833,Nataiwatch
ambilobe,MG,86.54,light rain,-13.2,49.05,Hôtel National
lucea,JM,71.85,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
aflu,JM,71.85,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
belize,BZ,67.46,scattered clouds,17.25,-88.75,El Hotelito
kimberley,ZA,84.22,clear sky,-28.7323,24.7623,Royal Paume Hotel
bucerias,MX,67.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex
cidreira,BR,71.98,few clouds,-30.1811,-50.2056,Hotel Castelo
port-gentil,GA,78.76,thunderstorm,-0.7193,8.7815,Tara-Mé
belushya guba,GA,78.76,thunderstorm,-0.7193,8.7815,Tara-Mé
sao felix do xingu,BR,74.55,overcast clouds,-6.6447,-51.995,Hotel Terraço
puerto del rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel Tamasite
ararangua,BR,67.93,broken clouds,-28.9347,-49.4858,Novo hotel tourist
vaitupu,BR,67.93,broken clouds,-28.9347,-49.4858,Novo hotel tourist
pisco,PE,68.05,smoke,-13.7,-76.2167,La Portada
ambon,ID,81.23,scattered clouds,-3.6954,128.1814,Hotel Hero
porbandar,IN,82.22,clear sky,21.6422,69.6093,Toran Tourist Bungalow
oranjestad,AW,77.92,few clouds,12.524,-70.027,Hotel California
sosua,DO,66.18,scattered clouds,19.7667,-70.5167,Casa Marina Beach & Reef
tingo maria,PE,67.96,overcast clouds,-9.2895,-76.0088,La Gran Muralla II
tahoua,NE,80.22,broken clouds,14.8888,5.2692,Hotel Bungalow
pimentel,PE,66.49,mist,-6.8367,-79.9342,Hospedaje Calle del Sol
georgetown,MY,84.13,few clouds,5.4112,100.3354,Page 63 hostel
plettenberg bay,ZA,70.56,clear sky,-34.0527,23.3716,Milkwood Manor
saint-georges,GD,76.42,light rain,12.0564,-61.7485,Deyna's City Inn
viedma,AR,80.96,few clouds,-40.8135,-62.9967,Níjar
aswan,EG,77.34,broken clouds,24.0934,32.907,Yaseen hotel
san blas,MX,65.91,overcast clouds,21.5167,-105.2667,Suites San Blas
beaufort,MY,76.71,overcast clouds,5.3473,115.7455,Rainbow Hotel
yei,SS,90.61,overcast clouds,4.095,30.6779,New Tokyo
ouesso,CG,95.41,broken clouds,1.6136,16.0517,Auberge Nianina
morant bay,JM,72.72,clear sky,17.8815,-76.4093,Morant Villas
hervey bay,AU,71.96,clear sky,-25.2986,152.8535,Hervey Bay Hotel
young,UY,70.48,few clouds,-32.6833,-57.6333,Hotel El Galeon
gunjur,GM,81.61,clear sky,13.2019,-16.7339,Footsteps Eco Lodge
itarema,BR,83.1,overcast clouds,-2.9248,-39.9167,Pousada Oásis
meulaboh,ID,80.96,broken clouds,4.1363,96.1285,Hotel Meuligou
saint-leu,RE,83.26,overcast clouds,-21.15,55.2833,Iloha Seaview Hôtel
laguna de perlas,NI,75.04,clear sky,12.3429,-83.6712,Hotelito Bella Vista;Western Union
labutta,NI,75.04,clear sky,12.3429,-83.6712,Hotelito Bella Vista;Western Union
loubomo,CG,71.91,overcast clouds,-4.1997,12.6739,Residence Nelson
rawson,AR,73.4,clear sky,-43.3002,-65.1023,Hotel Deportivo
mahibadhoo,MV,78.58,overcast clouds,3.7833,72.9667,Coral View Inn
